# GENERATED by `python scripts/ados.py product export`; DO NOT EDIT.
Requirement ID,Outcome ID,Opportunity ID,Bet ID,PRD,Spec,Milestone,Ticket,Change Request,Component,Test Case,Event,Metric,Review,Status,Notes
PRD-001-R11,O-001,OP-001,BET-001,PRD-001,SPEC-001-A11,M-001,TICKET-001,,agent/policies/exceptions.md,TEST-011,human.reviewed,METRIC-009,REVIEW-001,Complete,"Risk, shadow, exception, reversal, and outcome controls exist."
PRD-001-R12,O-001,OP-001,BET-001,PRD-001,SPEC-001-A12,M-001,TICKET-001,,src/agentic_os/tooling.py,TEST-012,ci.gate_completed,METRIC-007,REVIEW-001,Complete,"Tool names, descriptions, parameters, namespaces, and validation are enforced."
PRD-001-R13,O-001,OP-001,BET-001,PRD-001,SPEC-001-A13,M-001,TICKET-001,,docs/operating-model/owners.json,TEST-013,human.reviewed,METRIC-003,REVIEW-001,Complete,All required accountable roles are declared.
PRD-001-R14,O-001,OP-001,BET-001,PRD-001,SPEC-001-A14,M-001,TICKET-001,,docs/tickets/TEMPLATE.md,TEST-014,ticket.created,METRIC-007,REVIEW-001,Complete,"Delivery, decision, finding, trace, and growth templates exist."
PRD-001-R15,O-001,OP-001,BET-001,PRD-001,SPEC-001-A15,M-001,TICKET-001,,.github/workflows/governance.yml,TEST-015,ci.gate_completed,METRIC-011,REVIEW-001,Complete,"Local and CI gates cover compliance, lint, validation, metrics, and tests."
PRD-001-R16,O-001,OP-001,BET-001,PRD-001,SPEC-001-A16,M-001,TICKET-001,,src/agentic_os/growth.py,TEST-016,growth.conversion_recorded,METRIC-001,REVIEW-001,Complete,"Strategy, templates, funnel data, and reports are executable."
PRD-001-R17,O-001,OP-001,BET-001,PRD-001,SPEC-001-A17,M-001,TICKET-001,,docs/trace/master-compliance.json,TEST-017,ci.gate_completed,METRIC-008,REVIEW-001,Complete,All master obligations map to code and tests.
PRD-001-R18,O-001,OP-001,BET-001,PRD-001,SPEC-001-A18,M-001,TICKET-001,,tests/test_end_to_end.py,TEST-018,verification.completed,METRIC-011,REVIEW-001,Complete,"Positive, negative, and end-to-end paths are automated."
PRD-002-R01,O-001,OP-001,BET-001,PRD-002,SPEC-003-A01,M-002,TICKET-002,CR-001,.ai/strategy,TEST-019,outcome.updated,METRIC-012,REVIEW-002,Complete,"Context, strategy, outcomes, guardrails, roadmap, and scorecard are complete."
PRD-002-R02,O-001,OP-001,BET-001,PRD-002,SPEC-003-A02,M-002,TICKET-002,CR-001,.ai/discovery,TEST-020,opportunity.updated,METRIC-013,REVIEW-002,Complete,"Opportunity, customer problem, assumptions, research, and experiment evidence are complete."
PRD-002-R03,O-001,OP-001,BET-001,PRD-002,SPEC-003-A03,M-002,TICKET-002,CR-001,src/agentic_os/product.py,TEST-021,bet.status_changed,METRIC-014,REVIEW-002,Complete,Bet linkage and validation criteria are enforced.
PRD-002-R04,O-001,OP-001,BET-001,PRD-002,SPEC-003-A04,M-002,TICKET-002,CR-001,.ai/milestones,TEST-022,milestone.reviewed,METRIC-015,REVIEW-002,Complete,"WBS and milestones resolve to bets, PRDs, exits, and human reviews."
PRD-002-R05,O-001,OP-001,BET-001,PRD-002,SPEC-003-A05,M-002,TICKET-002,CR-001,docs/change-requests,TEST-023,change_request.decided,METRIC-015,REVIEW-002,Complete,Approved change request and release review records govern scope and completion.
PRD-002-R06,O-001,OP-001,BET-001,PRD-002,SPEC-003-A06,M-002,TICKET-002,CR-001,src/agentic_os/validation.py,TEST-024,trace.updated,METRIC-012,REVIEW-002,Complete,Every trace resolves outcome through review references.
PRD-002-R07,O-001,OP-001,BET-001,PRD-002,SPEC-003-A07,M-002,TICKET-002,CR-001,src/agentic_os/product.py,TEST-025,product_export.completed,METRIC-012,REVIEW-002,Complete,"Requirements, acceptance, and CSV views are generated and drift checked."
PRD-002-R08,O-001,OP-001,BET-001,PRD-002,SPEC-003-A08,M-002,TICKET-002,CR-001,.ai/commands,TEST-026,agent.action,METRIC-012,REVIEW-002,Complete,Eight workflow command guides cover orientation through closure.
PRD-002-R09,O-001,OP-001,BET-001,PRD-002,SPEC-003-A09,M-002,TICKET-002,CR-001,src/agentic_os/product.py,TEST-027,product_review.completed,METRIC-012,REVIEW-002,Complete,Product lifecycle events and four chain-health metrics are integrated.
PRD-002-R10,O-001,OP-001,BET-001,PRD-002,SPEC-003-A10,M-002,TICKET-002,CR-001,tests/test_product.py,TEST-028,ci.gate_completed,METRIC-012,REVIEW-002,Complete,Broken chains and generated drift fail local and remote CI.
